Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
29-04-2021,EQ,1060,1065,1049,1054.7,1056.25,1055.75,1055.81,1340,192,218774,230983685.5,10208
30-04-2021,EQ,1040.9,1048.6,1011,1055.75,1023.95,1018.95,1028.51,1340,192,466631,479934553.1,31265
03-05-2021,EQ,1015,1044.7,990,1018.95,1039.5,1036.5,1028.86,1340,199.95,324742,334114252.4,19111
04-05-2021,EQ,1050,1063,1035,1036.5,1047.35,1045.1,1046.88,1340,199.95,256463,268485276.2,16968
05-05-2021,EQ,1059,1080.8,1047.35,1045.1,1064,1064.55,1063.96,1340,199.95,446011,474537748.9,23639
06-05-2021,EQ,1083.95,1108,1072,1064.55,1102.5,1099.6,1090.07,1340,199.95,762063,830701555.6,36211
07-05-2021,EQ,1120,1125.4,1083.7,1099.6,1103.2,1102.9,1103.93,1340,199.95,784571,866108845.8,25542
10-05-2021,EQ,1110,1120,1098.05,1102.9,1100,1102.85,1105.27,1340,211,336905,372369552.8,19635
11-05-2021,EQ,1094,1094,1071.05,1102.85,1076.1,1077.95,1080.22,1340,211,344008,371604928.7,21405
12-05-2021,EQ,1077,1084.8,1032.2,1077.95,1050.2,1049.8,1052.21,1340,211,369512,388805266.1,26702
14-05-2021,EQ,1069,1097.7,1050.5,1049.8,1090,1088.05,1077.99,1340,211,681045,734161935.9,31820
17-05-2021,EQ,1142.45,1142.45,1142.45,1088.05,1142.45,1142.45,1142.45,1340,218.75,268800,307090560,5362
18-05-2021,EQ,1199.55,1199.55,1181.15,1142.45,1199.55,1198.75,1198.32,1340,218.75,825222,988883852.3,11552
19-05-2021,EQ,1244,1258.65,1156,1198.75,1241.55,1243.65,1231.11,1340,218.75,2581312,3177879733,94974
20-05-2021,EQ,1274,1284.75,1240.1,1243.65,1270,1268.85,1268.87,1340,218.75,1235091,1567173890,58147
21-05-2021,EQ,1285,1320.5,1272,1268.85,1314.95,1299.2,1289.64,1340,218.75,1145075,1476731227,41927
24-05-2021,EQ,1317,1364.15,1300,1299.2,1364.15,1360.95,1349.13,1364.15,236.5,1906731,2572421602,59491
25-05-2021,EQ,1390,1390,1301.1,1360.95,1317,1314.25,1334.66,1390,236.5,1212221,1617901989,62056
26-05-2021,EQ,1325,1333.9,1248.55,1314.25,1272,1264.6,1269.26,1390,236.5,1022936,1298369785,49335
27-05-2021,EQ,1289.7,1304.9,1225.3,1264.6,1260,1266.6,1270.76,1390,236.5,2431113,3089350641,65677
28-05-2021,EQ,1273,1289,1235,1266.6,1241,1238.95,1261.57,1390,236.5,747224,942671879.7,43690
31-05-2021,EQ,1260,1285.95,1242.25,1238.95,1270.15,1268.2,1257.73,1390,251.5,405540,510059310.5,28411
01-06-2021,EQ,1270,1280,1249,1268.2,1265,1271.05,1266.1,1390,251.5,664012,840708902.1,30666
02-06-2021,EQ,1275,1318.45,1275,1271.05,1299.95,1299.8,1297.48,1390,251.5,1381899,1792984405,43586
03-06-2021,EQ,1323,1323,1281.1,1299.8,1288,1286.9,1292.55,1390,251.5,1190736,1539081180,43338
04-06-2021,EQ,1305.2,1308,1271.25,1286.9,1280.95,1277.25,1282.02,1390,251.5,842516,1080119397,37330
07-06-2021,EQ,1294.4,1294.4,1263,1277.25,1265,1264.85,1274.44,1390,283.2,647083,824669572.2,31402
08-06-2021,EQ,1278,1278,1242.5,1264.85,1267.1,1267.55,1263.28,1390,283.2,678122,856657983.9,26936
09-06-2021,BE,1270,1270,1228,1267.55,1244.55,1239.15,1249.93,1270,22.8,300531,375642841.5,20533
10-06-2021,BE,1250,1260,1208,1239.15,1225,1233.5,1224.45,1270,22.8,1367276,1674160817,25108
11-06-2021,BE,1233,1260,1189,1233.5,1220,1217.7,1215.33,1270,22.8,1903191,2313000531,24119
14-06-2021,BE,1156.85,1257,1156.85,1217.7,1226,1212.9,1165.59,1270,22.8,2000802,2332121174,36145
15-06-2021,BE,1222,1225,1162,1212.9,1200,1212.2,1197.64,1270,22.8,1994140,2388254172,53093
16-06-2021,BE,1171.05,1235,1162.55,1212.2,1165,1182.75,1196.32,1270,22.8,1781769,2131559882,43486
17-06-2021,BE,1123.65,1150,1123.65,1182.75,1123.65,1123.65,1126.67,1270,22.8,1709482,1926023454,33594
18-06-2021,BE,1067.5,1075,1067.5,1123.65,1067.5,1067.55,1068.09,1270,22.8,1227389,1310962644,25122
21-06-2021,BE,1014.2,1120.9,1014.2,1067.55,1120.9,1120.9,1051.83,1270,22.8,2046583,2152659171,21331
22-06-2021,BE,1150,1176.9,1141,1120.9,1165,1167.4,1174.1,1270,22.8,2492565,2926532936,57460
23-06-2021,BE,1178,1196.2,1115,1167.4,1169,1166.15,1146.87,1270,22.8,1221164,1400511504,15736
